Date, Open, High, Low, Close, Volume
2/15/2016,330.56,332.67,330,331.13,6740.999609
2/11/2016,322.89,322.89,321.67,322.2,9395.999455
2/10/2016,330,332.99,322.22,322.34,6083.999647
2/9/2016,331.11,332.44,330,330.24,1286.999925
2/8/2016,333.33,333.33,331.11,331.42,530.9999692
2/4/2016,332.22,332.22,328.68,331.26,1547.99991
2/3/2016,334.33,334.33,332.22,333.86,314.9999817
2/2/2016,323.61,337.67,323.61,336.17,2564.999851
2/1/2016,335.56,336.67,334.11,334.83,3743.999783
1/28/2016,314.33,333.14,309,329.63,69290.99598
1/27/2016,320.56,320.56,315.91,317.29,1511.999912
1/26/2016,315.67,316.78,315.67,316.69,719.9999582
1/25/2016,315.56,317.78,314.16,315.6,4085.999763
1/21/2016,316.67,319.22,316.16,316.48,2429.999859
1/20/2016,314.22,319.87,314.22,316.13,1601.999907
1/19/2016,316.78,316.78,314.67,314.93,494.9999713
1/18/2016,318.44,319.89,311.71,315.51,989.9999426
1/14/2016,322.22,322.22,314.22,320.96,1349.999922
1/12/2016,322.22,322.22,322.22,322.22,89.99999478
1/11/2016,322.22,322.22,320.56,322.18,6848.999603
1/7/2016,320.11,324.44,311.34,313.62,5138.999702
1/6/2016,313.39,325.32,313.39,321.08,710.9999588
1/5/2016,315,315,313.56,313.83,926.9999462
1/4/2016,313.28,325.54,312.22,313.82,1736.999899
12/31/2015,319.88,329.23,315.56,327.83,59300.99656
12/30/2015,311.22,314.11,311.22,313.56,3860.999776
12/29/2015,307.79,312,307.78,310.61,908.9999473
12/28/2015,310,311.11,308.89,310.27,341.9999802
12/24/2015,306.89,314.11,306.79,311.84,1619.999906
12/23/2015,306.67,311.11,306.67,309.02,1970.999886
12/22/2015,308.89,312.22,308.89,310.19,13157.99924
12/21/2015,303.33,311,303.33,309.54,4094.999762
12/17/2015,303.44,306.44,302.78,303.94,27116.99843
12/15/2015,308.33,308.33,303.22,303.69,13652.99921
12/14/2015,314.44,314.56,305.56,306.89,21617.99875
12/10/2015,322.11,323.33,322.11,322.71,1943.999887
12/9/2015,322.44,322.44,322.11,322.22,7100.999588
12/8/2015,322.78,326.67,321.22,322.21,33533.99806
12/7/2015,322.44,327.78,322.22,326.61,26153.99848
12/3/2015,325,325,322.33,323.96,4301.99975
12/2/2015,324.46,325.67,324.44,325.13,9557.999446
